S. No.,Name of State,No. of Hospitals,No. of beds
1,Assam,8.0,2357.0
2,Andhra Pradesh,1.0,306.0
3,Andaman & Nicobar Islands,1.0,107.0
4,Arunachal Pradesh,1.0,198.0
5,Bihar,2.0,348.0
6,Delhi,2.0,1993.0
7,Goa,2.0,175.0
8,Gujarat,5.0,666.0
9,Haryana,3.0,1458.0
10,Himachal Pradesh,6.0,699.0
11,Jammu & Kashmir,11.0,2643.0
12,Jharkhand,2.0,649.0
13,Karnataka,3.0,1090.0
14,Kerala,5.0,744.0
15,Madhya Pradesh,7.0,1402.0
16,Maharastra,11.0,4202.0
17,Manipur,1.0,74.0
18,Meghalaya,1.0,247.0
19,Nagaland,2.0,398.0
20,Odisha,2.0,147.0
21,Punjab,10.0,2990.0
22,Rajasthan,11.0,2115.0
23,Sikkim,2.0,247.0
24,Tamil Nadu,3.0,373.0
25,Telangana,3.0,764.0
26,Tripura,1.0,49.0
27,Uttarakhand,5.0,1402.0
28,Uttar Pradesh,14.5,4570.0
29,West Bengal,7.0,2107.0
30,Total,14.5,4803.625
